
start_time	end_time	hr	hr_max	hr_min	steps	calories
2/20 15:40	2/20 15:45	None	None	None	108.824704433	6.09797976667
2/20 15:45	2/20 15:50	None	None	None	15.7485714286	None
2/20 15:50	2/20 15:55	None	None	None	40.3486590038	4.14704443333
2/20 15:55	2/20 16:0	None	None	None	21.9846743295	5.9937511
2/20 16:0	2/20 16:5	None	None	None	68.6666666667	5.07883086667
2/20 16:5	2/20 16:10	None	None	None	4.0	3.353468
2/20 16:10	2/20 16:15	None	None	None	56.0	4.90125836667
2/20 16:15	2/20 16:20	None	None	None	None	6.08333
2/20 16:20	2/20 16:25	None	None	None	None	7.55967713333
2/20 16:25	2/20 16:30	None	None	None	36.0	7.54012286667
2/20 16:30	2/20 16:35	None	None	None	None	6.08333
2/20 16:35	2/20 16:40	None	None	None	None	6.08333
2/20 16:40	2/20 16:45	None	None	None	None	6.08333
2/20 16:45	2/20 16:50	None	None	None	None	6.08333
2/20 16:50	2/20 16:55	None	None	None	None	6.08333
2/20 16:55	2/20 17:0	None	None	None	None	6.08333
2/20 17:0	2/20 17:5	None	None	None	None	6.08333
2/20 17:5	2/20 17:10	None	None	None	None	6.08333
2/20 17:10	2/20 17:15	None	None	None	None	6.08333
2/20 17:15	2/20 17:20	None	None	None	None	6.08333
2/20 17:20	2/20 17:25	None	None	None	None	6.08333
2/20 17:25	2/20 17:30	None	None	None	None	6.08333
2/20 17:30	2/20 17:35	None	None	None	None	6.08333
2/20 17:35	2/20 17:40	None	None	None	0.116666666667	6.08333
2/20 17:40	2/20 17:45	None	None	None	0.883333333333	6.08333
2/20 17:45	2/20 17:50	None	None	None	None	6.08333
2/20 17:50	2/20 17:55	None	None	None	2.13125	6.08333
2/20 17:55	2/20 18:0	None	None	None	109.86875	5.42409723333
2/20 18:0	2/20 18:5	None	None	None	81.3973799127	1.53737278107
2/20 18:5	2/20 18:10	None	None	None	201.602620087	15.4757098523
2/20 18:10	2/20 18:15	None	None	None	None	7.03095013333
2/20 18:15	2/20 18:20	None	None	None	None	6.08333
