start_time, end_time, hr, hr_max, hr_min, steps, calories, guessed_mvpa
2/25 20:0 , 2/25 20:5 , 67.0 , 67.0 , 67.0 , 15.3561643836 , 5.60304 , False

2/25 20:5 , 2/25 20:10 , 47.0 , 47.0 , 47.0 , 41.36 , 5.60304 , False

2/25 20:10 , 2/25 20:15 , 80.0 , 80.0 , 80.0 , 19.3066666667 , 5.60304 , False

2/25 20:15 , 2/25 20:20 , 67.0 , 67.0 , 67.0 , 14.3333333333 , 5.60304 , False

2/25 20:20 , 2/25 20:25 , 108.0 , 108.0 , 108.0 , 0 , 5.60304 , False

2/25 20:25 , 2/25 20:30 , 63.0 , 63.0 , 63.0 , 6.0 , 5.60304 , False

2/25 20:30 , 2/25 20:35 , 59.0 , 59.0 , 59.0 , 13.1733333333 , 5.60304 , False

2/25 20:35 , 2/25 20:40 , 96.0 , 96.0 , 96.0 , 17.2025531915 , 5.60304 , False

2/25 20:40 , 2/25 20:45 , 52.0 , 52.0 , 52.0 , 13.6241134752 , 5.60304 , False

2/25 20:45 , 2/25 20:50 , 52.0 , 52.0 , 52.0 , 5.0 , 5.60304 , False

2/25 20:50 , 2/25 20:55 , 62.0 , 62.0 , 62.0 , 0 , 5.60304 , False

2/25 20:55 , 2/25 21:0 , 106.0 , 106.0 , 106.0 , 0.145161290323 , 5.60304 , False

2/25 21:0 , 2/25 21:5 , 55.0 , 55.0 , 55.0 , 2.85483870968 , 5.60304 , False

2/25 21:5 , 2/25 21:10 , 105.0 , 105.0 , 105.0 , 49.4 , 5.60304 , False

2/25 21:10 , 2/25 21:15 , 60.0 , 60.0 , 60.0 , 3.33684210526 , 5.60304 , False

2/25 21:15 , 2/25 21:20 , 57.0 , 57.0 , 57.0 , 19.2631578947 , 5.60304 , False

2/25 21:20 , 2/25 21:25 , 172.0 , 172.0 , 172.0 , 0 , 5.60304 , False

2/25 21:25 , 2/25 21:30 , 76.0 , 76.0 , 76.0 , 0 , 5.60304 , False

2/25 21:30 , 2/25 21:35 , 190.0 , 190.0 , 190.0 , 0 , 5.60304 , False

2/25 21:35 , 2/25 21:40 , 122.0 , 122.0 , 122.0 , 0 , 5.60304 , False

2/25 21:40 , 2/25 21:45 , 83.0 , 83.0 , 83.0 , 0 , 5.60304 , False

2/25 21:45 , 2/25 21:50 , 98.0 , 98.0 , 98.0 , 0 , 5.60304 , False

2/25 21:50 , 2/25 21:55 , 200.0 , 200.0 , 200.0 , 0 , 5.60304 , False

2/25 21:55 , 2/25 22:0 , 127.0 , 127.0 , 127.0 , 0 , 4.5571392 , False
